datetime,datetime,year,month,day,random,sazonal,timeSeries
2032-01-01 00:00:00,2032-01-01 00:00:00,2032,1,1,0.6268138745063097,1.0,10.62681387450631
2032-01-01 01:00:00,2032-01-01 01:00:00,2032,1,1,0.10434563457034551,0.9999997588734665,10.10434322330501
2032-01-01 02:00:00,2032-01-01 02:00:00,2032,1,1,0.5263160398643245,0.9999990354939822,10.526306394804147
2032-01-01 03:00:00,2032-01-01 03:00:00,2032,1,1,0.6796308662666204,0.999997829861896,10.67960916488558
2032-01-01 04:00:00,2032-01-01 04:00:00,2032,1,1,0.5236923069213987,0.9999961419777894,10.523653726699292
2032-01-01 05:00:00,2032-01-01 05:00:00,2032,1,1,0.323058770781701,0.9999939718424762,10.322998489206464
2032-01-01 06:00:00,2032-01-01 06:00:00,2032,1,1,0.10897745258448166,0.9999913194570031,10.108890647154512
2032-01-01 07:00:00,2032-01-01 07:00:00,2032,1,1,0.24642313965367324,0.9999881848226492,10.246304987880166
2032-01-01 08:00:00,2032-01-01 08:00:00,2032,1,1,0.41476809406772563,0.9999845679409262,10.414613773476987
2032-01-01 09:00:00,2032-01-01 09:00:00,2032,1,1,0.3502062301547504,0.9999804688135782,10.350010918290533
2032-01-01 10:00:00,2032-01-01 10:00:00,2032,1,1,0.9068931005264848,0.9999758874425823,10.906651974952307
2032-01-01 11:00:00,2032-01-01 11:00:00,2032,1,1,0.33966860499061136,0.9999708238301476,10.339376843292088
2032-01-01 12:00:00,2032-01-01 12:00:00,2032,1,1,0.7272802327269768,0.9999652779787161,10.72693301251414
2032-01-01 13:00:00,2032-01-01 13:00:00,2032,1,1,0.3072325146507715,0.9999592498909624,10.306825013560395
2032-01-01 14:00:00,2032-01-01 14:00:00,2032,1,1,0.5283117086039121,0.9999527395697936,10.527839104301847
2032-01-01 15:00:00,2032-01-01 15:00:00,2032,1,1,0.5567456842333248,0.9999457470183493,10.556203154416819
2032-01-01 16:00:00,2032-01-01 16:00:00,2032,1,1,0.37686822853527135,0.9999382722400014,10.376250950935285
2032-01-01 17:00:00,2032-01-01 17:00:00,2032,1,1,0.12227609634560943,0.9999303152383551,10.12157924872916
2032-01-01 18:00:00,2032-01-01 18:00:00,2032,1,1,0.3729443074065616,0.9999218760172474,10.372163067579034
2032-01-01 19:00:00,2032-01-01 19:00:00,2032,1,1,0.20815150219402767,0.999912954580748,10.207281048001509
2032-01-01 20:00:00,2032-01-01 20:00:00,2032,1,1,0.11181259608016392,0.9999035509331596,10.11084810541176
2032-01-01 21:00:00,2032-01-01 21:00:00,2032,1,1,0.5742367682863957,0.9998936650790171,10.573173419076566
2032-01-01 22:00:00,2032-01-01 22:00:00,2032,1,1,0.10595752581378803,0.9998832970230879,10.104790496044666
2032-01-01 23:00:00,2032-01-01 23:00:00,2032,1,1,0.05394026815821684,0.9998724467703719,10.052664735861935
2032-01-02 00:00:00,2032-01-02 00:00:00,2032,1,2,0.8254027281196439,0.9998611143261019,10.824013871380663
2032-01-02 01:00:00,2032-01-02 01:00:00,2032,1,2,0.9873571625371459,0.9998492996957429,10.985850159494575
2032-01-02 02:00:00,2032-01-02 02:00:00,2032,1,2,0.45432146835895126,0.9998370028849926,10.452691497208878
2032-01-02 03:00:00,2032-01-02 03:00:00,2032,1,2,0.8820224864784106,0.999824223899781,10.88026472547622
2032-01-02 04:00:00,2032-01-02 04:00:00,2032,1,2,0.5588256598969875,0.9998109627462709,10.556935287359696
2032-01-02 05:00:00,2032-01-02 05:00:00,2032,1,2,0.7572380825963972,0.9997972194308576,10.755210276904974
2032-01-02 06:00:00,2032-01-02 06:00:00,2032,1,2,0.6294146299942818,0.9997829939601689,10.62724456959597
2032-01-02 07:00:00,2032-01-02 07:00:00,2032,1,2,0.033972512699983026,0.999768286341065,10.031655376110631
2032-01-02 08:00:00,2032-01-02 08:00:00,2032,1,2,0.3455798398954866,0.9997530965806385,10.343110805701873
2032-01-02 09:00:00,2032-01-02 09:00:00,2032,1,2,0.46915616989149966,0.999737424686215,10.466530416753649
