datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.47883700819192043,2022,1,1,1.0,10.47883700819192
2022-01-01 01:00:00,2022-01-01 01:00:00,0.1399175273051816,2022,1,1,0.9999997588734665,10.139915116039846
2022-01-01 02:00:00,2022-01-01 02:00:00,0.7401786457794562,2022,1,1,0.9999990354939822,10.740169000719279
2022-01-01 03:00:00,2022-01-01 03:00:00,0.17383688221799354,2022,1,1,0.999997829861896,10.173815180836954
2022-01-01 04:00:00,2022-01-01 04:00:00,0.5378392404662129,2022,1,1,0.9999961419777894,10.537800660244105
2022-01-01 05:00:00,2022-01-01 05:00:00,0.9804685432390401,2022,1,1,0.9999939718424762,10.980408261663802
2022-01-01 06:00:00,2022-01-01 06:00:00,0.7974390115984489,2022,1,1,0.9999913194570031,10.79735220616848
2022-01-01 07:00:00,2022-01-01 07:00:00,0.6060714976672411,2022,1,1,0.9999881848226492,10.605953345893733
2022-01-01 08:00:00,2022-01-01 08:00:00,0.5958511306773524,2022,1,1,0.9999845679409262,10.595696810086615
2022-01-01 09:00:00,2022-01-01 09:00:00,0.8063813284121515,2022,1,1,0.9999804688135782,10.806186016547933
2022-01-01 10:00:00,2022-01-01 10:00:00,0.6585727465016532,2022,1,1,0.9999758874425823,10.658331620927475
2022-01-01 11:00:00,2022-01-01 11:00:00,0.7589808378836117,2022,1,1,0.9999708238301476,10.758689076185089
2022-01-01 12:00:00,2022-01-01 12:00:00,0.05972482251119515,2022,1,1,0.9999652779787161,10.059377602298357
2022-01-01 13:00:00,2022-01-01 13:00:00,0.9877009313581937,2022,1,1,0.9999592498909624,10.987293430267819
2022-01-01 14:00:00,2022-01-01 14:00:00,0.7226843083757782,2022,1,1,0.9999527395697936,10.722211704073713
2022-01-01 15:00:00,2022-01-01 15:00:00,0.3694946095549647,2022,1,1,0.9999457470183493,10.368952079738458
2022-01-01 16:00:00,2022-01-01 16:00:00,0.7920362594684245,2022,1,1,0.9999382722400014,10.79141898186844
2022-01-01 17:00:00,2022-01-01 17:00:00,0.07541075772223949,2022,1,1,0.9999303152383551,10.07471391010579
2022-01-01 18:00:00,2022-01-01 18:00:00,0.6858330340981278,2022,1,1,0.9999218760172474,10.685051794270601
2022-01-01 19:00:00,2022-01-01 19:00:00,0.9958794950325851,2022,1,1,0.999912954580748,10.995009040840067
2022-01-01 20:00:00,2022-01-01 20:00:00,0.6472244599842151,2022,1,1,0.9999035509331596,10.646259969315812
2022-01-01 21:00:00,2022-01-01 21:00:00,0.356398783030745,2022,1,1,0.9998936650790171,10.355335433820915
2022-01-01 22:00:00,2022-01-01 22:00:00,0.29151235042986845,2022,1,1,0.9998832970230879,10.290345320660748
2022-01-01 23:00:00,2022-01-01 23:00:00,0.07317067086690088,2022,1,1,0.9998724467703719,10.07189513857062
2022-01-02 00:00:00,2022-01-02 00:00:00,0.16371897964564908,2022,1,2,0.9998611143261019,10.162330122906669
2022-01-02 01:00:00,2022-01-02 01:00:00,0.05668272038508859,2022,1,2,0.9998492996957429,10.055175717342518
2022-01-02 02:00:00,2022-01-02 02:00:00,0.43591816431962105,2022,1,2,0.9998370028849926,10.434288193169547
2022-01-02 03:00:00,2022-01-02 03:00:00,0.01616833685800767,2022,1,2,0.999824223899781,10.014410575855816
2022-01-02 04:00:00,2022-01-02 04:00:00,0.4932054469771068,2022,1,2,0.9998109627462709,10.491315074439816
2022-01-02 05:00:00,2022-01-02 05:00:00,0.12753581359800437,2022,1,2,0.9997972194308576,10.125508007906582
2022-01-02 06:00:00,2022-01-02 06:00:00,0.2524883991169531,2022,1,2,0.9997829939601689,10.25031833871864
2022-01-02 07:00:00,2022-01-02 07:00:00,0.01479521451915422,2022,1,2,0.999768286341065,10.012478077929803
